SKU ID:-,Product Name,Dispatched QTY,Courier Return(RTO) QTY,Courier Return(RTO) Ratio (%) ,Courier Return(RTO) Loss QTY
boAt Rockerz 255 Pro,boAt Rockerz 255 Pro,420,59,14.05%,56
boAt Rockerz 550,boAt Rockerz 550,136,20,14.71%,13
boAt Rockerz 235 V2,boAt Rockerz 235 V2,111,12,10.81%,6
boAt Rockerz 450,boAt Rockerz 450,111,20,18.02%,11
boAt Rockerz 330,boAt Rockerz 330,89,14,15.73%,8
boAt Rockerz 333,boAt Rockerz 333,88,14,15.91%,6
boAt Rockerz 510,boAt Rockerz 510,84,18,21.43%,8
boAt Rockerz 425,boAt Rockerz 425,79,14,17.72%,2
